iter	Passed	Remaining
436	1489	1919
437	1499	1923
438	1516	1938
439	1534	1952
440	1544	1958
441	1551	1958
442	1562	1964
443	1565	1960
444	1573	1962
445	1576	1958
446	1579	1954
447	1583	1951
448	1589	1951
449	1592	1946
450	1601	1949
451	1609	1951
452	1617	1952
453	1626	1956
454	1644	1969
455	1653	1972
456	1662	1975
457	1668	1974
458	1675	1975
459	1682	1975
460	1691	1977
461	1696	1975
462	1699	1971
463	1705	1969
464	1716	1974
465	1722	1974
466	1726	1970
467	1730	1967
468	1737	1967
469	1742	1964
470	1745	1960
471	1751	1959
472	1755	1955
473	1759	1952
474	1764	1950
475	1770	1949
476	1774	1945
477	1780	1944
478	1787	1944
479	1793	1942
480	1800	1942
481	1810	1945
482	1813	1941
483	1817	1937
484	1821	1933
485	1824	1929
486	1827	1925
487	1830	1920
488	1833	1916
489	1836	1911
490	1839	1906
491	1842	1902
492	1845	1898
493	1848	1893
494	1850	1887
495	1853	1883
496	1856	1878
497	1859	1874
498	1863	1870
499	1866	1866
500	1869	1862
501	1872	1857
502	1874	1852
503	1877	1847
504	1879	1842
505	1882	1837
506	1885	1833
507	1888	1829
508	1891	1824
509	1894	1820
510	1897	1816
511	1900	1811
512	1904	1807
513	1907	1804
514	1911	1800
515	1915	1796
516	1918	1792
517	1922	1788
518	1925	1784
519	1927	1779
520	1930	1774
521	1932	1769
522	1935	1765
523	1938	1760
524	1941	1756
525	1944	1752
526	1947	1748
527	1949	1742
528	1952	1738
529	1954	1733
530	1957	1729
531	1960	1724
532	1962	1719
533	1965	1715
534	1967	1710
535	1970	1706
536	1973	1701
537	1975	1696
538	1977	1691
539	1980	1687
540	1983	1682
541	1986	1678
542	1989	1674
543	1992	1670
544	1994	1665
545	1997	1661
546	2000	1656
547	2003	1652
548	2005	1647
549	2008	1643
550	2010	1638
551	2015	1635
552	2018	1631
553	2020	1626
554	2025	1623
555	2028	1619
556	2031	1615
557	2034	1611
558	2037	1607
559	2040	1602
560	2043	1599
561	2046	1594
562	2048	1590
563	2051	1586
564	2055	1582
565	2057	1577
566	2060	1573
567	2063	1569
568	2065	1564
569	2068	1560
570	2070	1555
571	2074	1552
572	2077	1548
573	2079	1543
574	2082	1539
575	2085	1535
576	2087	1530
577	2091	1526
578	2095	1523
579	2098	1519
580	2100	1514
581	2102	1509
582	2106	1506
583	2109	1502
584	2113	1499
585	2115	1494
586	2117	1489
587	2119	1485
588	2123	1481
589	2126	1478
590	2130	1474
591	2133	1470
592	2140	1469
593	2144	1465
594	2146	1461
595	2151	1458
596	2153	1453
597	2155	1449
598	2159	1445
599	2162	1441
600	2166	1438
601	2172	1436
602	2175	1432
603	2179	1429
604	2182	1425
605	2185	1420
606	2188	1417
607	2191	1412
608	2195	1409
609	2198	1405
610	2201	1401
611	2204	1397
612	2206	1392
613	2208	1388
614	2212	1384
615	2215	1381
616	2217	1376
617	2219	1372
618	2223	1368
619	2226	1364
620	2229	1360
621	2231	1356
622	2234	1351
623	2236	1347
624	2241	1344
625	2245	1341
626	2249	1338
627	2253	1335
628	2259	1332
629	2262	1328
630	2266	1325
631	2269	1321
632	2273	1318
633	2276	1314
634	2279	1310
635	2282	1306
636	2285	1302
637	2288	1298
638	2291	1294
639	2293	1290
640	2296	1286
641	2299	1282
642	2302	1278
643	2305	1274
644	2307	1270
645	2310	1266
646	2315	1263
647	2318	1259
648	2320	1255
649	2323	1251
650	2325	1246
651	2327	1242
652	2329	1238
653	2332	1234
654	2334	1229
655	2336	1225
656	2339	1221
657	2341	1217
658	2343	1212
659	2345	1208
660	2348	1204
661	2351	1200
662	2354	1196
663	2357	1193
664	2360	1189
665	2364	1185
666	2368	1182
667	2370	1178
668	2373	1174
669	2376	1170
670	2379	1166
671	2381	1162
672	2384	1158
673	2386	1154
674	2388	1150
675	2390	1145
676	2395	1142
677	2397	1138
678	2399	1134
679	2401	1130
680	2404	1126
681	2406	1122
682	2408	1117
683	2410	1113
684	2413	1109
685	2415	1105
686	2417	1101
687	2419	1097
688	2422	1093
689	2424	1089
690	2426	1085
691	2428	1080
692	2431	1076
693	2433	1072
694	2435	1068
695	2437	1064
696	2440	1060
697	2442	1056
698	2444	1052
699	2446	1048
700	2449	1044
701	2451	1040
702	2455	1037
