iter	RMSE
0	0.4393409044
1	0.4258042328
2	0.4148160435
3	0.4059531222
4	0.3953990992
5	0.3854099536
6	0.3796191944
7	0.3666762563
8	0.3557381285
9	0.3491353175
10	0.3423306803
11	0.3355062089
12	0.3292525218
13	0.3197942584
14	0.3130574124
15	0.3081221442
16	0.3048893808
17	0.299174746
18	0.2939326029
19	0.2879011259
20	0.2832886231
21	0.2793444829
22	0.274364273
23	0.2713512445
24	0.2657840636
25	0.2598032358
26	0.2581311289
27	0.2560563162
28	0.2530881051
29	0.2498923421
30	0.245548176
31	0.2434878241
32	0.2398056786
33	0.2336861692
34	0.2313524363
35	0.227375504
36	0.2243633382
37	0.2214800069
38	0.2179765654
39	0.2137239818
40	0.2101489087
41	0.2060096503
42	0.2034788791
43	0.200372866
44	0.1974188773
45	0.1964060146
46	0.1933552313
47	0.1925464701
48	0.1878100591
49	0.184993452
50	0.1812621671
51	0.1788138211
52	0.1753446623
53	0.1721549413
54	0.16981331
55	0.1676314623
56	0.1657820154
57	0.1650686904
58	0.1636952964
59	0.1614669381
60	0.1581703266
61	0.1575865016
62	0.1538843288
63	0.1497825949
64	0.1462489335
65	0.1431924864
66	0.1390701941
67	0.1374103014
68	0.1368557423
69	0.1347653521
70	0.1316184791
71	0.1290760491
72	0.1258858075
73	0.1243763269
74	0.1215873207
75	0.1186074528
76	0.1154840144
77	0.1134217306
78	0.1106020547
79	0.108591303
80	0.1081781822
81	0.1057678736
82	0.1054357875
83	0.102931151
84	0.1017375562
85	0.1014778288
86	0.09999132459
87	0.09863944621
88	0.09771476871
89	0.09668446004
90	0.09486571
91	0.093856226
92	0.0929156914
93	0.090502584
94	0.08929466401
95	0.08767958198
96	0.08608166958
97	0.08457454051
98	0.08284363508
99	0.0817429926
100	0.08128611052
101	0.08050041566
102	0.07915577372
103	0.07819314226
104	0.07691200196
105	0.07667425183
106	0.07491636678
107	0.0742460357
108	0.07372441263
109	0.0722267126
110	0.07092680236
111	0.06925972526
112	0.06799403243
113	0.06715095639
114	0.06552834281
115	0.06420542774
116	0.06320683536
117	0.06209490007
118	0.06140075072
119	0.06053987364
120	0.05945225874
121	0.05858270367
122	0.05768715077
123	0.05670714093
124	0.05597085802
125	0.05525111443
126	0.05419243315
127	0.05363832851
128	0.05346470988
129	0.05218844331
130	0.05187498726
131	0.05156188712
132	0.05092276066
133	0.04984539876
134	0.04973812524
135	0.04886103246
136	0.04820750915
137	0.04753495708
138	0.04686613284
139	0.04639816547
140	0.04572865599
141	0.04523934081
142	0.04509024467
143	0.04459129449
144	0.04398575986
145	0.04361000813
146	0.04297680571
147	0.04234862463
148	0.04222383303
149	0.04154947134
150	0.04098215952
151	0.04054394202
152	0.04014817103
153	0.03929983318
154	0.03856914898
155	0.03805011695
156	0.03774091778
157	0.03735641457
158	0.03687761506
159	0.0365015547
160	0.03583170694
161	0.03546688554
162	0.03542150328
163	0.0350469875
164	0.03432795218
165	0.03427387216
166	0.03396699564
167	0.03368589925
168	0.03323859661
169	0.03246053566
170	0.03198971449
171	0.03154785443
172	0.03102941879
173	0.03071837732
174	0.03068296709
175	0.03035831083
176	0.03022704909
177	0.02970626212
178	0.02931730374
179	0.02881296768
180	0.02861621633
181	0.02815220059
182	0.02781964629
183	0.02754706977
184	0.02720668898
185	0.0268615969
186	0.02650345912
187	0.02609022677
188	0.02567893567
189	0.02534454138
190	0.02489937503
191	0.02439341497
192	0.02422366502
193	0.02373222361
194	0.02335783949
195	0.02306710622
196	0.02294088788
197	0.02291998617
198	0.0225349273
199	0.02214086109
200	0.02179040985
201	0.02145305239
202	0.02128184913
203	0.02108506233
204	0.02074500234
205	0.02059650083
206	0.02031605245
207	0.02004004519
208	0.01985047576
209	0.01959813329
210	0.01921906162
211	0.01894137441
212	0.0186681875
213	0.01846788912
214	0.01830215483
215	0.01801178812
216	0.01771206412
217	0.01753879166
218	0.01734783975
219	0.01706307201
220	0.01682921464
221	0.01664130634
222	0.01638411376
223	0.01627573924
224	0.0161089496
225	0.01590455313
226	0.0157565701
227	0.01562902586
228	0.01544288417
229	0.01527991685
230	0.0150131874
231	0.01475689492
232	0.01467391088
233	0.01457487888
234	0.01442866128
235	0.01440762123
236	0.01422257558
237	0.01402999487
238	0.01391544133
239	0.0138988434
240	0.01363481754
241	0.01349315856
242	0.01338921431
243	0.01321800975
244	0.0130870368
245	0.01290334146
246	0.01287235628
247	0.01275046854
248	0.01253820502
249	0.0123737899
250	0.01215523933
251	0.01199337068
252	0.01171705976
253	0.01150027287
254	0.01126922308
255	0.01114621699
256	0.01106712748
257	0.01104134992
258	0.01102462694
259	0.01084189599
260	0.01082947133
